time,Tair_[°C],sol_[W/m2],vap_[mbar],cloud_[-],rain_[m/hr],U10_[m/s],Temp_[C],Adir,H_sw,H_lw_in,H_lw_out,H_le,H_c,H_net_atm
2025-07-01 00:00:00,20.53,0.0,18.4,0.3784,0.0,0.599999099999325,22.5553716,0.074,0.0,381.8127247597636,-421.9622005981777,-58.21059868682619,-8.815134711580557,-107.17520923682079
2025-07-01 01:00:00,20.23,0.0,18.1,0.3774,0.0,0.5000659156551265,22.507538266666668,0.074,0.0,379.3713683472843,-421.6893324855433,-58.50043675059307,-9.720208696968664,-110.5386095858207
2025-07-01 02:00:00,20.63,0.0,17.7,0.3763,0.0,1.0000037249930622,22.459704933333335,0.074,0.0,380.101769282117,-421.41659673496696,-68.70979691848889,-8.859145335587039,-118.88376970692589
2025-07-01 03:00:00,20.03,0.0,17.6,0.3165,0.0,0.7000357133746821,22.4118716,0.074,0.0,374.22059431354995,-421.14399330363705,-64.71635054866135,-10.837859385525993,-122.47760892427443
2025-07-01 04:00:00,19.83,7.0,17.3,0.2408,0.0,0.699981921195112,22.364038266666668,0.074,6.332577535243293,369.69611487676895,-420.87152214875056,-66.64509762724883,-11.601746657542835,-123.08967402153
2025-07-01 05:00:00,19.83,54.0,17.8,0.2111,0.0,0.6000260411015508,22.33535626666667,0.074,48.81665805802448,370.36526027013014,-420.7082054086799,-60.99565903972045,-11.12784961353851,-73.64979573378423
2025-07-01 06:00:00,21.83,206.0,18.0,0.1869,0.0,0.4999864098153069,22.3066896,0.074,186.1219941536595,380.1977613048129,-420.5450234744581,-52.54792918929441,-1.8747997624765567,91.35200303224333
2025-07-01 07:00:00,22.93,227.0,18.3,0.188,0.0,1.1000028409054223,22.278022933333332,0.074,205.1007637969095,386.6324476205915,-420.3818890154085,-57.92696583735452,2.941680067948054,116.36603663268608
2025-07-01 08:00:00,24.73,564.0,19.6,0.1895,0.0,0.7999892811781918,22.493494133333332,0.074,509.6070985915493,399.71214444056176,-421.6092420245765,-43.631806254943335,8.550040066446956,452.62823481903814
2025-07-01 09:00:00,26.63,700.0,19.6,0.1893,0.0,1.1000394538379066,22.7091608,0.074,632.4881758435964,409.6273903316282,-422.84039768340676,-46.66480399061655,15.308022141583674,587.918386642785
2025-07-01 10:00:00,28.33,814.0,19.0,0.1893,0.0,1.499975446465708,22.924827466666667,0.074,735.4933930524106,416.8017021518993,-424.0742477308512,-55.66993511168481,22.45360041155377,695.0045127733277
2025-07-01 11:00:00,29.53,883.0,18.8,0.1893,0.0,1.8000250359370005,23.177464533333335,0.074,797.8386560998509,422.59578471037685,-425.5230411273813,-62.740928452929076,27.776021726340957,759.9464929562585
2025-07-01 12:00:00,30.83,938.0,20.1,0.1893,0.0,2.2000089113455883,23.4301312,0.074,847.5341556304191,433.7608524468213,-426.97571396370176,-61.36651015458361,34.80572401143295,827.7585079703881
2025-07-01 13:00:00,30.53,597.0,19.8,0.1893,0.0,2.2999806107878387,23.682797866666668,0.074,539.4220585408958,431.18525116344784,-428.4321030374159,-69.93315279420456,33.809660169530126,506.05171404225325
2025-07-01 14:00:00,30.43,647.0,20.8,0.1893,0.0,1.6999974499980874,23.775259466666668,0.074,584.599785386867,433.67985960923943,-428.96598847793877,-53.99258880390502,27.848403090701126,563.1694708049637
2025-07-01 15:00:00,32.03,708.0,19.9,0.1893,0.0,2.6000070249905094,23.8675928,0.074,639.7166121389517,439.7719820789423,-429.4996310679704,-73.79091383539702,41.52749851633413,617.7255478308607
2025-07-01 16:00:00,28.93,330.0,23.5,0.1893,0.0005,3.0000328481535,23.959926133333333,0.074,298.17299718340973,432.9588725875898,-430.0337714000624,-57.90746083123101,30.849416701612704,274.0400542413188
2025-07-01 17:00:00,28.33,312.0,24.6,0.1893,0.0,1.5000534023827288,23.868406666666665,0.074,281.9090155188601,432.4694294588746,-429.5043370413331,-32.15781335185922,19.31699637809606,272.0332909626385
2025-07-01 18:00:00,27.73,61.0,23.4,0.1866,0.0,2.0999520970726926,23.77674,0.074,55.11341590382707,426.0319199182498,-428.97454132889123,-46.864454513175794,20.607471056440083,25.9138110364499
2025-07-01 19:00:00,26.83,29.0,21.6,0.1841,0.0,2.0999393729343714,23.68507333333333,0.074,26.199962883418692,416.2857557249116,-428.44523589687236,-61.449926907970436,16.86636633441502,-30.543077862097448
2025-07-01 20:00:00,26.33,8.0,19.3,0.1646,0.0,1.899978591984657,23.540115999999998,0.074,7.224393156805055,406.54950650521243,-427.6092172407013,-75.11508577467346,14.413007461715951,-74.53739589164134
2025-07-01 21:00:00,25.83,0.0,17.0,0.1637,0.0,3.7000294444774355,23.395115999999998,0.074,0.0,396.6623252403941,-426.7741771317048,-133.9206157526298,18.501712404807222,-145.53075523913324
2025-07-01 22:00:00,23.83,0.0,17.1,0.159,0.0,1.2000390201989268,23.250116,0.074,0.0,386.7531025667194,-425.9403606270143,-79.61909878325984,2.7004347054677704,-116.10592213808695
